reference_id,title,journal,publication_date,volume,issue,pages,doi,pmid,url,notes,created_at,updated_at
RE00100,PET/CT imaging of esophageal cancer targeting tumor cell specific αvβ6-integrin expression,European journal of nuclear medicine and molecular imaging,2025-06-20,,,,10.1007/s00259-025-07408-7,40540027,https://doi.org/10.1007/s00259-025-07408-7,,,
RE00101,"PET/CT imaging of head-and-neck and pancreatic cancer in humans by targeting the ""Cancer Integrin"" αvβ6 with Ga-68-Trivehexin",European journal of nuclear medicine and molecular imaging,2021-09-24,49,4,1136-1147,10.1007/s00259-021-05559-x,34559266,https://doi.org/10.1007/s00259-021-05559-x,,,
RE00102,Two ⁹⁰Y-labeled multimeric RGD peptides RGD4 and 3PRGD2 for integrin targeted radionuclide therapy,Molecular pharmaceutics,2011-01-19,8,2,591-9,10.1021/mp100403y,21247151,https://doi.org/10.1021/mp100403y,,,
RE00103,Design of a Tetravalent RGD Peptide Capable of Simultaneous Binding with Multiple Integrin αvβ3 for Targeted Radionuclide Therapy,Journal of medicinal chemistry,2025-05-13,68,6,6518-6533,10.1021/acs.jmedchem.4c03007,40083181,https://doi.org/10.1021/acs.jmedchem.4c03007,,,
RE00104,Preclinical Evaluation of 68Ga- and 177Lu-Labeled Integrin αvβ6-Targeting Radiotheranostic Peptides,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2022-10-07,64,4,639-644,10.2967/jnumed.122.264749,36207137,https://doi.org/10.2967/jnumed.122.264749,,,
RE00105,[68Ga]NODAGA-RGD for imaging αvβ3 integrin expression,European journal of nuclear medicine and molecular imaging,2011-04-13,38,7,1303-12,10.1007/s00259-011-1778-0,21487838,https://doi.org/10.1007/s00259-011-1778-0,,,
RE00106,(64)Cu-labeled tetrameric and octameric RGD peptides for small-animal PET of tumor alpha(v)beta(3) integrin expression,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2007-06-15,48,7,1162-71,10.2967/jnumed.107.039859,17574975,https://doi.org/10.2967/jnumed.107.039859,,,
RE00107,Evaluation of an Integrin αvβ3 and Aminopeptidase N Dual-Receptor Targeting Tracer for Breast Cancer Imaging,Molecular pharmaceutics,2019-12-26,17,1,349-358,10.1021/acs.molpharmaceut.9b01134,31829615,https://doi.org/10.1021/acs.molpharmaceut.9b01134,,,
RE00108,Comparison of a New 68Ga-Radiolabelled PET Imaging Agent sCD146 and RGD Peptide for In Vivo Evaluation of Angiogenesis in Mouse Model of Myocardial Infarction,Cells,2021-09-03,10,9,2305,10.3390/cells10092305,34571954,https://doi.org/10.3390/cells10092305,,,
RE00109,Evaluation of a (99m)Tc-labeled cyclic RGD tetramer for noninvasive imaging integrin alpha(v)beta3-positive breast cancer,Bioconjugate chemistry,2007-05-07,18,2,438-46,10.1021/bc0603081,17341108,https://doi.org/10.1021/bc0603081,,,
RE00110,"Improvement of biodistribution profile of a radiogallium-labeled, αvβ6 integrin-targeting peptide probe by incorporation of negatively charged amino acids",Annals of nuclear medicine,2020-06-08,34,8,575-582,10.1007/s12149-020-01483-6,32514725,https://doi.org/10.1007/s12149-020-01483-6,,,
RE00111,(68)Ga-labeled NOTA-RGD-BBN peptide for dual integrin and GRPR-targeted tumor imaging,European journal of nuclear medicine and molecular imaging,2009-04-10,36,9,1483-94,10.1007/s00259-009-1123-z,19360404,https://doi.org/10.1007/s00259-009-1123-z,,,
RE00112,Evaluation of the Gly-Phe-Lys Linker to Reduce the Renal Radioactivity of a [64Cu]Cu-Labeled Multimeric cRGD Peptide,ACS omega,2025-01-24,,,,10.1021/acsomega.4c10621,39926504,https://doi.org/10.1021/acsomega.4c10621,,,
RE00113,An optimized integrin α6-targeted peptide for positron emission tomography/magnetic resonance imaging of pancreatic cancer and its precancerous lesion,Clinical and translational medicine,2020-08-26,10,4,,10.1002/ctm2.157,32898323,https://doi.org/10.1002/ctm2.157,,,
RE00114,"67Cu-Radiolabeling of a multimeric RGD peptide for αVβ3 integrin-targeted radionuclide therapy: stability, therapeutic efficacy, and safety studies in mice",Nuclear medicine communications,2017-04-01,38,4,347-355,10.1097/MNM.0000000000000646,28291159,https://doi.org/10.1097/mnm.0000000000000646,,,
RE00115,99mTcO(MAG2-3G3-dimer): a new integrin alpha(v)beta(3)-targeted SPECT radiotracer with high tumor uptake and favorable pharmacokinetics,European journal of nuclear medicine and molecular imaging,2009-05-30,36,11,1874-84,10.1007/s00259-009-1166-1,19484236,https://doi.org/10.1007/s00259-009-1166-1,,,
RE00116,Small-animal SPECT/CT imaging of cancer xenografts and pulmonary fibrosis using a 99mTc-labeled integrin αvβ6-targeting cyclic peptide with improved,Biophysics reports,2018-11-02,4,5,254-264,10.1007/s41048-018-0071-1,30533490,https://doi.org/10.1007/s41048-018-0071-1,,,
RE00117,68Ga-Labeled Cystine Knot Peptide Targeting Integrin αvβ6 for Lung Cancer PET Imaging,Molecular pharmaceutics,2022-06-08,19,7,2620-2628,10.1021/acs.molpharmaceut.2c00313,35674464,https://doi.org/10.1021/acs.molpharmaceut.2c00313,,,
RE00118,Targeted Alpha Therapy of Glioma Using 211At-Labeled Heterodimeric Peptide Targeting Both VEGFR and Integrins,Molecular pharmaceutics,2022-08-22,19,9,3206-3216,10.1021/acs.molpharmaceut.2c00349,35993583,https://doi.org/10.1021/acs.molpharmaceut.2c00349,,,
RE00119,Development and characterization of a 68Ga-labeled A20FMDV2 peptide probe for the PET imaging of αvβ6 integrin-positive pancreatic ductal adenocarcinoma,Bioorganic & medicinal chemistry,2019-11-09,28,1,115189,10.1016/j.bmc.2019.115189,31740201,https://doi.org/10.1016/j.bmc.2019.115189,,,
RE00120,An Integrin-αvβ6/α5β1-Bitargeted Probe for the SPECT Imaging of Pancreatic Adenocarcinoma in Preclinical and Primary Clinical Studies,Bioconjugate chemistry,2021-06-17,32,7,1298-1305,10.1021/acs.bioconjchem.1c00296,34137602,https://doi.org/10.1021/acs.bioconjchem.1c00296,,,
RE00121,Tumor targeting with radiolabeled alpha(v)beta(3) integrin binding peptides in a nude mouse model,Cancer research,2002-11-01,62,21,6146-51,,12414640,,,,
RE00122,Integrin α6 targeted positron emission tomography imaging of hepatocellular carcinoma in mouse models,Journal of controlled release : official journal of the Controlled Release Society,2019-08-07,310,,,10.1016/j.jconrel.2019.08.003,31400382,https://doi.org/10.1016/j.jconrel.2019.08.003,,,
RE00123,The Effects of an Albumin Binding Moiety on the Targeting and Pharmacokinetics of an Integrin αvβ6-Selective Peptide Labeled with Aluminum [18F]Fluoride,Mol Imaging Biol,2020-05-07,22,6,1543-1552,10.1007/s11307-020-01500-0,32383076,https://doi.org/10.1007/s11307-020-01500-0,,,
RE00124,Integrin αvβ3 and EGFR dual-targeted [64Cu]Cu-NOTA-RGD-GE11 heterodimer for PET imaging in pancreatic cancer mouse model,Nuclear medicine and biology,2023-07-16,124-125,,108364,10.1016/j.nucmedbio.2023.108364,37591041,https://doi.org/10.1016/j.nucmedbio.2023.108364,,,
RE00125,Synthesis and preclinical evaluation of a heterodimeric radioligand targeting fibroblast activation protein and integrin-αvβ3,European journal of medicinal chemistry,2023-05-11,251,,115279,10.1016/j.ejmech.2023.115279,36931125,https://doi.org/10.1016/j.ejmech.2023.115279,,,
RE00126,"Safety, pharmacokinetics, and dosimetry of 177Lu-AB-3PRGD2 in patients with advanced integrin αvβ3-positive tumors: A first-in-human study",Acta pharmaceutica Sinica. B,2024-11-07,15,2,669-680,10.1016/j.apsb.2024.10.012,40177543,https://doi.org/10.1016/j.apsb.2024.10.012,,,
RE00127,Biological evaluation of integrin α3β1-targeted 68Ga-labeled HEVNPs in HCT 116 colorectal tumor-bearing mice,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2022-11-17,180,,106336,10.1016/j.ejps.2022.106336,36403717,https://doi.org/10.1016/j.ejps.2022.106336,,,
RE00128,Preliminary evaluation of (177)Lu-labeled knottin peptides for integrin receptor-targeted radionuclide therapy,European journal of nuclear medicine and molecular imaging,2010-12-10,34,4,613-22,10.1007/s00259-010-1684-x,21153409,https://doi.org/10.1007/s00259-010-1684-x,,,
RE00129,Automated Synthesis and Preclinical Evaluation of Optimized Integrin α6-Targeted Positron Emission Tomography Imaging of Pancreatic Cancer,Molecular pharmaceutics,2023-07-18,20,8,4277-4284,10.1021/acs.molpharmaceut.3c00321,37463487,https://doi.org/10.1021/acs.molpharmaceut.3c00321,,,
RE00130,αVβ3 Integrin-Targeted Radionuclide Therapy with 64Cu-cyclam-RAFT-c(-RGDfK-)4,Molecular cancer therapeutics,2016-07-15,15,9,2076-85,10.1158/1535-7163.MCT-16-0040,27422811,https://doi.org/10.1158/1535-7163.mct-16-0040,,,
RE00131,Development and preclinical evaluation of a cyclic PET tracer targeting integrin-α6 on colorectal cancer models,Bioorganic chemistry,2024-10-17,153,,107892,10.1016/j.bioorg.2024.107892,39447346,https://doi.org/10.1016/j.bioorg.2024.107892,,,
RE00132,Integrin α6-Targeted Positron Emission Tomography Imaging of Colorectal Cancer,ACS omega,2019-09-24,4,13,15560-15566,10.1021/acsomega.9b01920,31572857,https://doi.org/10.1021/acsomega.9b01920,,,
RE00133,Synthesis and biological evaluation of RGD conjugated with Ketoprofen/Naproxen and radiolabeled with [99mTc] via N4(GGAG) for αVβ3 integrin-targeted drug delivery,"Daru : journal of Faculty of Pharmacy, Tehran University of Medical Sciences ",2019-12-16,28,1,87-96,10.1007/s40199-019-00318-8,31845157,https://doi.org/10.1007/s40199-019-00318-8,,,
RE00134,Peptidic heterodimer-based radiotracer targeting fibroblast activation protein and integrin αvβ3, European journal of nuclear medicine and molecular imaging,2024-01-26,51,6,1544-1557,10.1007/s00259-024-06623-y,38276986,https://doi.org/10.1007/s00259-024-06623-y,,,
RE00135,"Synthesis, Radiolabeling, and In Vitro and In Vivo Characterization of Heterobivalent Peptidic Agents for Bispecific EGFR and Integrin αvβ3 Targeting.",ACS omega,2023-01-04,8,2,2793-2807,10.1021/acsomega.2c07484,36687076,https://doi.org/10.1021/acsomega.2c07484,,,
RE00136,Targeting integrin αvβ6 with gallium-68 tris (hydroxypyridinone) based PET probes,"Dalton transactions (Cambridge, England : 2003)",2022-08-30,51,34,12796-12803,10.1039/d2dt00980c,35972045,https://doi.org/10.1039/d2dt00980c,,,
RE00140,An Integrin Alpha 6-Targeted Radiotracer with Improved Receptor Binding Affinity and Tumor Uptake,Bioconjugate chemistry,2020-05-07,31,5,1510-1521,10.1021/acs.bioconjchem.0c00170,32347718,https://doi.org/10.1021/acs.bioconjchem.0c00170,,,
RE00141,Development of Novel Integrin αvβ3‑Targeted Radioligand for Enhanced Tumor Accumulation,ACS medicinal chemistry letters,2025-06-30,16,7,1346-1353,10.1021/acsmedchemlett.5c00231,40666478,https://doi.org/10.1021/acsmedchemlett.5c00231,,,
RE00142,Pegylated Arg-Gly-Asp peptide: 64Cu labeling and PET imaging of brain tumor alphavbeta3-integrin expression,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2004-10-01,45,10,1776-83,,15471848,,,,
RE00143,Detection of intestinal inflammation by MicroPET imaging using a (64)Cu-labeled anti-beta(7) integrin antibody,Inflammatory bowel diseases ,2010-02-23,16,9,1458-66,10.1002/ibd.21231,20186943,https://doi.org/10.1002/ibd.21231,,,
RE00144,A heterodimeric [RGD-Glu-[(64)Cu-NO2A]-6-Ahx-RM2] αvβ3/GRPr-targeting antagonist radiotracer for PET imaging of prostate tumors,Nuclear medicine and biology,2013-11-28,41,2,133-9,10.1016/j.nucmedbio.2013.11.006,24480266,https://doi.org/10.1016/j.nucmedbio.2013.11.006,,,
RE00145,Synthesis of a DOTA-C-glyco bifunctional chelating agent and preliminary in vitro and in vivo study of [68Ga]Ga-DOTA-C-glyco-RGD,RSC advances,2021-02-17,11,13,7672-7681,10.1039/d0ra09274f,35423261,https://doi.org/10.1039/d0ra09274f,,,
RE00146,A Comparison of Evans Blue and 4-(p-Iodophenyl)butyryl Albumin Binding Moieties on an Integrin αvβ6 Binding Peptide, Pharmaceutics,2022-03-30,14,7,745,10.3390/pharmaceutics14040745,35456579,https://doi.org/10.3390/pharmaceutics14040745,,,
RE00147,"68Ga-Chelation and comparative evaluation of N,N'-bis-[2-hydroxy-5-(carboxyethyl)benzyl]ethylenediamine-N,N'-diacetic acid (HBED-CC) conjugated NGR and RGD peptides as tumor targeted molecular imaging probes",MedChemComm,2017-02-16,8,3,673-679,10.1039/c7md00006e,30108785,https://doi.org/10.1039/c7md00006e,,,
RE00148,Imaging of Integrin αvβ3 Expression in Lung Cancers and Brain Tumors Using Single-Photon Emission Computed Tomography with a Novel Radiotracer 99mTc-IDA-D-[c(RGDfK)]2,Cancer biotherapy & radiopharmaceuticals,2017-10-01,32,8,288-296,10.1089/cbr.2017.2233,29053416,https://doi.org/10.1089/cbr.2017.2233,,,
RE00149,MicroPET imaging of integrin αvβ3 expressing tumors using 89Zr-RGD peptides,Molecular imaging and biology,2010-12-16,13,6,1224-33,10.1007/s11307-010-0458-y,21161690,https://doi.org/10.1007/s11307-010-0458-y,,,
RE00151,"Safety, biodistribution and radiation dosimetry of the Arg-Gly-Asp peptide 99m Tc-maraciclatide in healthy volunteers",Nuclear medicine communications,2024-02-05,45,4,295-303,10.1097/MNM.0000000000001814,38312052,https://doi.org/10.1097/mnm.0000000000001814,,,
RE00152,Proof-of-Concept Study of the NOTI Chelating Platform: Preclinical Evaluation of 64Cu-Labeled Mono- and Trimeric c(RGDfK) Conjugates,Molecular imaging and biology,2020-08-27,23,1,95-108,10.1007/s11307-020-01530-8,32856224,https://doi.org/10.1007/s11307-020-01530-8,,,
RE00153,"SPECT/CT Imaging, Biodistribution and Radiation Dosimetry of a 177Lu-DOTA-Integrin αvβ6 Cystine Knot Peptide in a Pancreatic Cancer Xenograft Model",Frontiers in oncology,2021-05-31,11,,684713,10.3389/fonc.2021.684713,34136410,https://doi.org/10.3389/fonc.2021.684713,,,
RE00154,"First-In-Human Study Demonstrating Tumor-Angiogenesis by PET/CT Imaging with (68)Ga-NODAGA-THERANOST, a High-Affinity Peptidomimetic for αvβ3 Integrin Receptor Targeting",Cancer biotherapy & radiopharmaceuticals,2015-05-06,30,4,152-9,10.1089/cbr.2014.1747,25945808,https://doi.org/10.1089/cbr.2014.1747,,,
RE00155,"Correction: Evaluation of [18F]AlF NOTA-5G, an Aluminum [18F]fluoride Labeled Peptide Targeting the Cell Surface Receptor Integrin Alpha(v)beta(6) for PET Imaging", Molecular imaging and biology,2025-03-04,27,2,293,10.1007/s11307-025-01995-5,40038219,https://doi.org/10.1007/s11307-025-01995-5,,,
RE00156,In vitro and in vivo evaluation of a Technetium-99m-labeled cyclic RGD peptide as a specific marker of alpha(V)beta(3) integrin for tumor imaging,Bioconjugate chemistry,2002-04-20,13,3,561-70,10.1021/bc0155566,12009947,https://doi.org/10.1021/bc0155566,,,
RE00157,Preparation and preliminary biological evaluation of 177Lu-labeled GluDTPA-cyclo(RGDfK) for integrin anb3 receptor-positive tumor targeting,,2011-11-25,55,1,,10.1002/jlcr.1944,15519153,https://doi.org/10.1002/jlcr.1944,,,
RE00158,Targeted radionuclide therapy with RAFT-RGD radiolabelled with (90)Y or (177)Lu in a mouse model of αvβ3-expressing tumours.,European journal of nuclear medicine and molecular imaging,2014-08-28,42,2,252-63,10.1007/s00259-014-2891-7,25164771,https://doi.org/10.1007/s00259-014-2891-7,,,
RE00160,"Potential therapeutic radiotracers: preparation, biodistribution and metabolic characteristics of 177Lu-labeled cyclic RGDfK dimer",Amino acids,2009-11-26,39,1,111-20,10.1007/s00726-009-0382-0,19941017,https://doi.org/10.1007/s00726-009-0382-0,,,
RE00161,(68)Ga-labeled multimeric RGD peptides for microPET imaging of integrin alpha(v)beta (3) expression,European journal of nuclear medicine and molecular imaging,2008-01-19,35,6,1100-8,10.1007/s00259-007-0692-y,18204838,https://doi.org/10.1007/s00259-007-0692-y,,,
RE00162,"Evaluation of an integrin αvβ6-specific peptide labeled with [18F]fluorine by copper-free, strain-promoted click chemistry",Nuclear medicine and biology,2012-12-21,40,2,233-9,10.1016/j.nucmedbio.2012.10.007,23265667,https://doi.org/10.1016/j.nucmedbio.2012.10.007,,,
RE00163,Clinical Evaluation of 68Ga-FAPI-RGD for Imaging of Fibroblast Activation Protein and Integrin αvβ3 in Various Cancer Types,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2023-05-04,64,8,1210-1217,10.2967/jnumed.122.265383,37142301,https://doi.org/10.2967/jnumed.122.265383,,,
RE00164,Synthesis and Preclinical Evaluation of a 68Ga-Radiolabeled Peptide Targeting Very Late Antigen-3 for PET Imaging of Pancreatic Cancer,Molecular pharmaceutics,2020-06-30,17,8,3000-3008,10.1021/acs.molpharmaceut.0c00416,32544337,https://doi.org/10.1021/acs.molpharmaceut.0c00416,,,
RE00165,PET imaging of VEGFR and integrins in glioma tumor xenografts using 89Zr labelled heterodimeric peptide,Bioorganic & medicinal chemistry,2022-02-22,59,,116677,10.1016/j.bmc.2022.116677,35220162,https://doi.org/10.1016/j.bmc.2022.116677,,,
RE00167,Improved in Vivo Targeting Capability and Pharmacokinetics of 99mTc-Labeled isoDGR by Dimerization and Albumin-Binding for Glioma Imaging,Bioconjugate chemistry,2019-06-11,30,7,2038-2048,10.1021/acs.bioconjchem.9b00323,31063685,https://doi.org/10.1021/acs.bioconjchem.9b00323,,,
RE00171,Palmitic Acid-Conjugated Radiopharmaceutical for Integrin αvβ3-Targeted Radionuclide Therapy,Pharmaceutics,2022-06-23,14,7,1327,10.3390/pharmaceutics14071327,35890224,https://doi.org/10.3390/pharmaceutics14071327,,,
RE00172,Comparison of a Series of 68Ga-Labeled DOTA-LLP2A Conjugates for Positron Emission Tomography Imaging of Very Late Antigen-4 in Melanoma,Molecular pharmaceutics,2025-01-03,22,2,1031-1041,10.1021/acs.molpharmaceut.4c01204,39748758,https://doi.org/10.1021/acs.molpharmaceut.4c01204,,,
RE00173,Development of [89Zr]Zr-hCD103.Fab01A and [68Ga]Ga-hCD103.Fab01A for PET imaging to noninvasively assess cancer reactive T cell infiltration: Fab-based CD103 immunoPET, EJNMMI research,2023-11-20,13,1,100,10.1186/s13550-023-01043-9,37985555,https://doi.org/10.1186/s13550-023-01043-9,,,
RE00174,Preparation and evaluation of a novel albumin-binding heterodimer therapeutic radiopharmaceutical with remarkable tumor accumulation and retention,European journal of medicinal chemistry,2025-04-01,290,,117589,10.1016/j.ejmech.2025.117589,40179612,https://doi.org/10.1016/j.ejmech.2025.117589,,,
RE00175,Transplanted Murine Tumours SPECT Imaging with 99mTc Delivered with an Artificial Recombinant Protein,International journal of molecular sciences,2024-09-23,25,18,10197,10.3390/ijms251810197,39337680,https://doi.org/10.3390/ijms251810197,,,
RE00176,A comparison of [18F]AlF- and 68Ga-labeled dual targeting heterodimer FAPI-RGD in malignant tumor: preclinical evaluation and pilot clinical PET/CT imaging,European journal of nuclear medicine and molecular imaging,2024-01-22,51,6,1685-1697,10.1007/s00259-023-06587-5,38246909,https://doi.org/10.1007/s00259-023-06587-5,,,
RE00178,Enhanced radiotheranostic targeting of integrin α5β1 with PEGylation-enabled peptide multidisplay platform (PEGibody): A strategy for prolonged tumor retention with fast blood clearance,Acta pharmaceutica Sinica. B ,2024-07-06,15,2,692-706,10.1016/j.apsb.2024.07.006,40177561,https://doi.org/10.1016/j.apsb.2024.07.006,,,
RE00179,PET/CT imaging of esophageal cancer targeting tumor cell specific αvβ6-integrin expression,European journal of nuclear medicine and molecular imaging,2025-06-20,,,,10.1007/s00259-025-07408-7,40540027,https://doi.org/10.1007/s00259-025-07408-7,,,
RE00180,Imaging Very Late Antigen-4 on MOLT4 Leukemia Tumors with Cysteine Site-Specific 89Zr-Labeled Natalizumab Immuno-Positron Emission Tomography,Molecular pharmaceutics,2024-01-28,21,3,1353-1363,10.1021/acs.molpharmaceut.3c01024,38282332,https://doi.org/10.1021/acs.molpharmaceut.3c01024,,,
RE00181,Construction and evaluation of PSMA and integrin α2β1 targeted  hetero-bivalent agents for the PET imaging and internal irradiation therapy  of prostate cancer,Chemical Engineering Journal,2025-02-01,505,,158570, 10.1016/j.cej.2024.158570,,https://doi.org/ 10.1016/j.cej.2024.158570,,,
RE00182,Heterobivalent Dual-Target Peptide for Integrin-αvβ3 and Neuropeptide Y Receptors on Breast Tumor,"Pharmaceuticals (Basel, Switzerland) ",2024-10-04,17,10,1328,10.3390/ph17101328,39458969,https://doi.org/10.3390/ph17101328,,,
RE00183,A Novel Bifunctional Chelating Agent for Tyrosine-Specific Radiolabeling of Peptides and Proteins,Bioconjugate chemistry,2024-10-07,,,,10.1021/acs.bioconjchem.4c00363,39373937,https://doi.org/10.1021/acs.bioconjchem.4c00363,,,
RE00184,Development of a Radiogallium-Labeled Heterodivalent Imaging Probe Targeting Negative Charges and Integrin on the Surface of Cancer Cell Membranes,Molecular pharmaceutics,2025-03-11,22,4,2053-2064,10.1021/acs.molpharmaceut.4c01263,40066788,https://doi.org/10.1021/acs.molpharmaceut.4c01263,,,
RE00185,Development of a Radiogallium-Labeled Heterodivalent Imaging Probe Targeting Negative Charges and Integrin on the Surface of Cancer Cell Membranes,Molecular pharmaceutics,2025-03-11,22,4,2053-2064,10.1021/acs.molpharmaceut.4c01263,40066788,https://doi.org/10.1021/acs.molpharmaceut.4c01263,,,
RE00192,The Synthesis and Preclinical Investigation of Lactosamine-Based Radiopharmaceuticals for the Detection of Galectin-3-Expressing Melanoma Cells, Pharmaceutics ,2022-11-18,14,11,2504,10.3390/pharmaceutics14112504,36432695,https://doi.org/10.3390/pharmaceutics14112504,,,
RE00193,Therapeutic Efficacy of 177Lu-Labeled A20FMDV2 Peptides Targeting ανβ6, Pharmaceutics ,2022-02-15,15,2,229,10.3390/ph15020229,35215341,https://doi.org/10.3390/ph15020229,,,
RE00194,Preclinical assessment of Alzheimer's disease using novel designed 99mTc-labeled RGD-based pro-apoptotic cyclic peptide as a promising SPECT agent,Applied Organometallic Chemistry,2022-01-02,36,3,e6569,10.1002/aoc.6569,,https://doi.org/10.1002/aoc.6569,,,
RE00195,[99mTc]-labeling and evaluation of a new linear peptide for imaging of glioblastoma as a αvβ3-positive tumor,,2022-09-12,36,,976–985,10.1007/s12149-022-01786-w,,https://doi.org/10.1007/s12149-022-01786-w,,,
RE00197,Development and preliminary evaluation of an integrin α2β1-targeted PET probe as a supplement and alternative of PSMA imaging for prostate cancer,Bioorganic & Medicinal Chemistry,2022-01-15,54,,116583,10.1016/j.bmc.2021.116583,34952297,https://doi.org/10.1016/j.bmc.2021.116583,,,
RE00199,Evaluation of Integrin αvβ3 Expression in Murine Xenograft Models: [68Ga]Ga-DOTA-C(RGDfK) PET Study with Immunohistochemical Confirmation, Diagnostics,2021-07-19,11,7,1295,10.3390/diagnostics11071295,34359378,https://doi.org/10.3390/diagnostics11071295,,,
RE00200,Integrin αvβ6 Positron Emission Tomography Imaging in Lung Cancer Patients Treated With Pulmonary Radiation Therapy,International Journal of Radiation Oncology*Biology*Physics,2020-06-01,107,2,370-376,10.1016/j.ijrobp.2020.02.014,32060008,https://doi.org/10.1016/j.ijrobp.2020.02.014,,,
RE00203,Targeted Radionuclide Therapy in Patient-Derived Xenografts Using 177Lu-EB-RGD ,Molecular cancer therapeutics,2020-10-01,19,10, 2034–2043,10.1158/1535-7163.MCT-19-1098,32847972,https://doi.org/10.1158/1535-7163.MCT-19-1098,,,
RE00204,Evaluation of Copper-64-Labeled αvβ6-Targeting Peptides: Addition of an Albumin Binding Moiety to Improve Pharmacokinetics,Molecular Pharmaceutics,2021-11-16,18,12,4437–4447,10.1021/acs.molpharmaceut.1c00632,34783573,https://doi.org/10.1021/acs.molpharmaceut.1c00632,,,
RE00206,argeting Infiltrating Myeloid Cells in Gastric Cancer Using a Pretargeted Imaging Strategy Based on Bio-Orthogonal Diels–Alder Click Chemistry and Comparison with 89Zr-Labeled Anti-CD11b Positron Emission Tomography,Molecular Pharmaceutics,2021-11-24,19,1,246–257,10.1021/acs.molpharmaceut.1c00745,34816721,https://doi.org/10.1021/acs.molpharmaceut.1c00745,,,
RE00207,Manipulating Pharmacokinetics of Purification-Free 99mTc-Labeled Bivalent Probes for In Vivo Imaging of Saturable Targets,Molecular Pharmaceutics,2020-04-10,17,5,1621–1628,10.1021/acs.molpharmaceut.0c00070,32275437,https://doi.org/10.1021/acs.molpharmaceut.0c00070,,,
RE00208,Preliminary evaluation of 177Lu-labeled knottin peptides for integrin receptor-targeted radionuclide therapy, European Journal of Nuclear Medicine and Molecular Imaging,2010-12-10,38,,613–622,10.1007/s00259-010-1684-x,21152972,https://doi.org/10.1007/s00259-010-1684-x,,,
RE00209,Integrin αvβ6–Targeted SPECT Imaging for Pancreatic Cancer Detection,J Nucl Med,2014-06-01,55,6,989-994,10.2967/jnumed.113.132969,24711638,https://doi.org/10.2967/jnumed.113.132969,,,
RE00210,"H-CRRETAWAC-OH, a Lead Structure for the Development of Radiotracer Targeting Integrin α5β1?",BioMed Research International,2014-10-13,2014,1,243185,10.1155/2014/243185,25374888,https://doi.org/10.1155/2014/243185,,,
RE00211,One-Step 18F Labeling of Non-Peptidic Bivalent Integrin αvβ3 Antagonist for Cancer Imaging,Bioconjug Chem,2014-12-31,26,1,24-28,10.1021/bc500590f,25551189,https://doi.org/10.1021/bc500590f,,,
RE00212,Integrin αvβ3-Targeted Radiotracer 99mTc-3P-RGD2 Useful for Noninvasive Monitoring of Breast Tumor Response to Antiangiogenic Linifanib Therapy but not Anti-Integrin αvβ3 RGD2 Therapy,Theranostics,2013-10-12,3,11,816-830,10.7150/thno.6989,24312152,https://doi.org/10.7150/thno.6989,,,
RE00213,Radiosynthesis and evaluation of 188Re-c(RGDyK)-His as a novel radiotherapeutic agent for integrin αvβ3 targeting tumour, Journal of Radioanalytical and Nuclear Chemistry ,2013-12-22,299,,1865–1870,10.1007/s10967-013-2892-1,,https://doi.org/10.1007/s10967-013-2892-1,,,
RE00214,Noninvasive imaging of tumor integrin expression using 18F-labeled RGD dimer peptide with PEG4 linkers, Journal of Radioanalytical and Nuclear Chemistry ,2009-03-19,36,, 1296–1307,10.1007/s00259-009-1112-2,19296102,https://doi.org/10.1007/s00259-009-1112-2,,,
RE00215,Monitoring Tumor Response to Linifanib Therapy with SPECT/CT Using the Integrin αvβ3–Targeted Radiotracer 99mTc-3P-RGD2 99mTc-3P-RGD2: An Integrin αvβ3–Targeted Radiotracer to Monitor Linifanib Therapy,The Journal of Pharmacology and Experimental Therapeutics,2013-08-01,36,2,251-258,10.1124/jpet.112.202622,23750021,https://doi.org/10.1124/jpet.112.202622,,,
RE00216,99mTc-Labeled Cyclic RGD Peptides for Noninvasive Monitoring of Tumor Integrin αvβ3 Expression,Molecular Imaging,2011-09-01,,,,10.2310/7290.2011.00006,21521559,https://doi.org/10.2310/7290.2011.00006,,,
RE00218,Gallium-68 Complex of a Macrobicyclic Cage Amine Chelator Tethered to Two Integrin-Targeting Peptides for Diagnostic Tumor Imaging,Bioconjugate chemistry,2011-08-31,22,10, 2093–2103,10.1021/bc200319q ,21877750,https://doi.org/10.1021/bc200319q,,,
RE00219,Integrin avb3 Imaging of Radioactive Iodine–Refractory Thyroid Cancer Using 99mTc-3PRGD2,The Journal of Nuclear Medicine,2012-10-15,53,12,1872-7,10.2967/jnumed.112.107821,23071350,https://doi.org/10.2967/jnumed.112.107821,,,
RE00221,Detection of Intestinal Inflammation by MicroPET Imaging Using a 64Cu-Labeled Anti-β7 Integrin Antibody,The Journal of Nuclear Medicine,2012-12-01,53,12,1872-1877,10.2967/jnumed.112.107821,23071350,https://doi.org/10.2967/jnumed.112.107821,,,
