activity_id,drug_id,pmid,doi,clinical_trial_number,indication,patients,frequency,dosage,clinical_endpoint,endpoint_period,purpose,results_description,efficacy_description,security_indicators,adverse_events_summary,created_at,updated_at
HU0001,RDC00100,40540027,10.1007/s00259-025-07408-7,,ESCC,"68-year-old female had moderately differentiated (G2) non-keratinizing squamous cell carcinoma with TPS <1%, CPS 2%, stromal positivity 2%, and positive p40/CK5/6 staining.",,193 MBq,Imaging potential,,To assess the potential of αvβ6-integrin as a theranostic target in esophageal cancer.,"Tracer uptake rapidly increased in the primary tumor (SUVmax 9.0, 11.3 at 15, 104 min p.i.) and lymph node metastasis (SUVmax 19.5, 28.3).",,,Administration of 68Ga-D0103 was well tolerated without any adverse reactions.,,
HU0002,RDC00101,34559266,10.1007/s00259-021-05559-x,,Non-keratinizing squamous cell carcinoma,"A female patient was diagnosed with moderately differentiated (G2) non-keratinizing squamous cell carcinoma, with tumor nodule metastasis (TPS) <1%, comprehensive positive score (CPS) 2, IC2%, p40 positive, and CK5/6 positive.",,148 MBq,Imaging potential,,"Ga-68-Trivehexin was tested for in-human PET/CT imaging of HNSCC, parotideal adenocarcinoma, and metastatic PDAC.","Preclinical PET correlated well with human data, demonstrating high and persistent uptake in metastatic PDAC, HNSCC (SUVmax = 10–13), kidneys and urine. ⁶⁸Ga-Trivehexin allowed PET/CT visualization of small PDAC metastases and exhibited high HNSCC uptake without tumor-associated inflammation retention.",,Vital signs or the results of laboratory studies or electrocardiograms,"ollowing iv administration of 68 Ga-Trivehexin, there were no adverse or clinically detectable pharmacologic effects. No significant changes in vital signs or the results of laboratory studies or electrocardiograms were observed.",,
HU0003,RDC00155,40177543,10.1016/j.apsb.2024.10.012,NCT06375564,"Advanced integrin αvβ3-positive tumors (ACC, ICC, uLMS)","n=10 (3M/7F, aged 45±16 years)",Single dose,1.57±0.08 GBq (42.32±2.11 mCi),Response rate,10%,Efficacy,,"According to PERCIST 1.0, the partial response rate was 10% (1/10)",,"No grade ≥3 acute AEs; Grade 3 ALT/AST elevation (1/10), grade 2 ALT elevation (1/10), grade 2 anemia (1/10)",,
HU0004,RDC00155,40177543,10.1016/j.apsb.2024.10.012,NCT06375564,"Advanced integrin αvβ3-positive tumors (ACC, ICC, uLMS)","n=10 (3M/7F, aged 45±16 years)",Single dose,1.57±0.08 GBq (42.32±2.11 mCi),Stable disease rate,80%,Efficacy,,"According to PERCIST 1.0, the stable disease rate was 80% (8/10)",,"No grade ≥3 acute AEs; Grade 3 ALT/AST elevation (1/10), grade 2 ALT elevation (1/10), grade 2 anemia (1/10)",,
HU0005,RDC00155,40177543,10.1016/j.apsb.2024.10.012,NCT06375564,"Advanced integrin αvβ3-positive tumors (ACC, ICC, uLMS)","n=10 (3M/7F, aged 45±16 years)",Single dose,1.57±0.08 GBq (42.32±2.11 mCi),Progressive disease rate,10%,Efficacy,,"According to PERCIST 1.0, the progressive disease rate was 10% (1/10)",,,,
HU0006,RDC00155,40177543,10.1016/j.apsb.2024.10.012,NCT06375564,"Advanced integrin αvβ3-positive tumors (ACC, ICC, uLMS)","n=10 (3M/7F, aged 45±16 years)",Single dose,1.57±0.08 GBq (42.32±2.11 mCi),Safety,,To evaluate the safety,,,"Ab parameters stable (WBC, HB, PLT, ALT, AST, Cr)","No grade ≥3 acute AEs; Grade 3 ALT/AST elevation (1/10), grade 2 ALT elevation (1/10), grade 2 anemia (1/10)",,
HU0007,RDC00164,38276986,10.1007/s00259-024-06623-y,NCT05515783,Cancer diagnosis (various types),3 healthy volunteers + 3 cancer patients,Single dose,2.3–3.7 MBq/kg,Safety,,Safety of ⁶⁸Ga-FAP-RGD,"68Ga-FAP-RGD PET was proven safe and all subjects tolerated the examination well. 68Ga-FAP-RGD had low background signals in salivary glands, thyroid, and pancreas, which was more conducive to lesion detection. Meanwhile, the high uptake in the kidneys may also interfere with the diagnosis of renal disease.As for the diagnostic performance, we found that 68Ga-FAP-RGD PET was able to detect multiple occult lesions in several cancer types",,"vital signs (e.g., blood pressure, respiration, heart rate, temperature)",No adverse events were observed within 4 h after tracer injection.,,
HU0008,RDC00164,38276986,10.1007/s00259-024-06623-y,NCT05515783,Cancer diagnosis (various types),3 healthy volunteers + 3 cancer patients,Single dose,2.3–3.7 MBq/kg,Imaging potential,,Imaging potential of ⁶⁸Ga-FAP-RGD,"As for the diagnostic performance, we found that 68Ga-FAP-RGD PET was able to detect multiple occult lesions in several cancer types",,,,,
HU0009,RDC00185,29053416,10.1089/cbr.2017.2233,,"Lung cancer, brain tumors (glioblastoma, anaplastic astrocytoma, meningioma)","12 (5 lung cancer, 7 brain tumors)",Single administration,260–740 MBq,Safety,,To evaluate the safety,None of the patients experienced an adverse event associated with 99mTc-IDA-D-[c(RGDfK)]2 injection.,,"Safety assessment included adverse event reporting and assessments of general appearance, vital signs, ECG, as well as physical and neurological examinations.",None of the patients experienced an adverse event associated with 99mTc-IDA-D-[c(RGDfK)]2 injection.,,
HU0010,RDC00185,29053416,10.1089/cbr.2017.2233,,"Lung cancer, brain tumors (glioblastoma, anaplastic astrocytoma, meningioma)","12 (5 lung cancer, 7 brain tumors)",Single administration,260–740 MBq,Imaging potential,,To evaluate the imaging potential,All lesions were well visualized on 99mTc-IDA-D-[c(RGDfK)]2 SPECT images,,,,,
HU0011,RDC00191,38312052,10.1097/mnm.0000000000001814,,Diagnostic imaging of angiogenesis-related diseases,Thirty-one participants (19 males and 12 females),Single dose,Radioactive dose: 169-198 MBq (mean 183 MBq),Safety,,To evaluate the safety,No serious adverse events reported,,,99mTc-maraciclatide was safe and well tolerated,,
HU0012,RDC00191,38312052,10.1097/mnm.0000000000001814,,Diagnostic imaging of angiogenesis-related diseases,Thirty-one participants (19 males and 12 females),Single dose,Radioactive dose: 169-198 MBq (mean 183 MBq),,,To evaluate biodistribution,"Initial uptakes of 99mTc were highest in the gastrointestinal tract (20%), liver (15%), and lungs (9%).",,,,,
HU0013,RDC00195,25945808,10.1089/cbr.2014.1747,,Breast/NSCLC,NSCLC and breast cancer patients,Single dose,300–500 MBq,,,First-in-human demonstration of tumor-angiogenesis imaging in NSCLC and breast cancer patients.,,,,No adverse reactions occurred,,
HU0014,RDC00196,32782265,10.1038/s41392-020-00266-9,NCT04289532,Breast cancer imaging,7 healthy volunteers; 2 breast cancer patients,Single administration,,Safety,,To evaluate the safety,The primary clinical studies demonstrated the safety and feasibility of 99mTc-RWY for further clinical translation,,,No adverse reactions occurred,,
HU0015,RDC00111,40038219,10.1007/s11307-025-01995-5,NCT04665947,Metastatic pancreatic cancer,,,,Efficacy,,Identify patients for [177Lu]Lu DOTA-ABM-5G radiotherapy,,,,,,
HU0016,RDC00114,40038219,10.1007/s11307-025-01995-5,NCT04665947,Metastatic pancreatic cancer,,,,Safety and efficacy,,To evaluate the safety and efficacy of the [68Ga]Ga DOTA-5G and [177Lu]Lu DOTA-ABM-5G theranostic pair in patients with locally advanced or metastatic pancreatic adenocarcinoma,,,,,,
HU0017,RDC00111,40038219,10.1007/s11307-025-01995-5,NCT04665947,Metastatic non small cell lung cancer (NSCLC),,,,Efficacy,,Identify patients for [177Lu]Lu DOTA-ABM-5G radiotherapy,,,,,,
HU0018,RDC00114,40038219,10.1007/s11307-025-01995-5,NCT06228482,Metastatic non small cell lung cancer (NSCLC),,,,Efficacy,,Identify patients for [177Lu]Lu DOTA-ABM-5G radiotherapy,,,,,,
HU0019,RDC00111,40038219,10.1007/s11307-025-01995-5,NCT06389123,Metastatic cancer,,,,,,Identify patients for [177Lu]Lu DOTA-ABM-5G radiotherapy,,,,,,
HU0020,RDC00114,40038219,10.1007/s11307-025-01995-5,NCT06389123,Metastatic cancer,,,,,,To evaluate the safety and efficacy of the [68Ga]Ga DOTA-5G and [177Lu]Lu DOTA-ABM-5G theranostics pair in patients with metastatic cancer.,,,,,,
HU0021,RDC00211,37142301,10.2967/jnumed.122.265383,NCT05543317,"Various cancers (NSCLC, breast, pancreatic, etc.)",3 healthy volunteers,Single dose,3.0–3.7MBq/kg (~7–8 nmol),The effective dose,,The effective dose,1.01 3 1022 mSv/MBq,,,"68Ga-FAPI-RGD was tolerated well, with no adverse events in any of the healthy volunteers or patients.",,
HU0022,RDC00211,37142301,10.2967/jnumed.122.265383,NCT05543317,"Various cancers (NSCLC, breast, pancreatic, etc.)",n=22 (15 men; median age 57 y),Single dose,3.0–3.7MBq/kg (~7–8 nmol),,,Clinical Evaluation of 68Ga-FAPI-RGD,"68Ga-FAPI-RGD PET/CT exhibited significantly higher uptake and TBR in primary and metastatic lesions than 18F-FDG, improving lesion detection and tumor delineation, particularly for lymph node (99% vs. 91%) and bone metastases (100% vs. 80%). It also showed superior uptake and TBR relative to 68Ga-FAPI-46.",,,,,
HU0023,RDC00213,38376806,10.1007/s00259-024-06634-9,NCT05549024,Breast cancer diagnosis,11 (mean age 49±7 years),Single injection,119±20MBq,"Tumor uptake, TBR, lesion detection rate",,Compare with [18F]FDG PET/CT,Detected 12/12 primary lesions; identified brain/bone metastases missed by FDG.Higher TBR in primary/metastatic lesions vs. [18F]FDG; Improved lesion delineation,,,Stable vital signs; no drug-related AEs,,
HU0024,RDC00241,38246909,10.1007/s00259-023-06587-5,NCT05976620,"Malignant tumors (rectal cancer, HCC, carcinosarcoma, breast cancer, renal carcinoma)","6 patients with malignant tumors (3 males and 3 females; median age, 57 y; range, 46–73 y)",Single PET/CT scan,0.13 mCi/kg,The effective dose,,The effective dose,9.94E-03 mSv/MBq,,,,,
HU0025,RDC00241,38246909,10.1007/s00259-023-06587-5,NCT05976620,"Malignant tumors (rectal cancer, HCC, carcinosarcoma, breast cancer, renal carcinoma)","6 patients with malignant tumors (3 males and 3 females; median age, 57 y; range, 46–73 y)",Single PET/CT scan,0.13 mCi/kg,Biodistribution,,To evaluate biodistribution,"Biodistribution curves revealed optimal normal-organ uptake, high tumor accumulation, and 3-hour retention post-injection, with tumor-to-background ratio increasing over time",,,,,
HU0026,RDC00241,38246909,10.1007/s00259-023-06587-5,NCT05976620,"Malignant tumors (rectal cancer, HCC, carcinosarcoma, breast cancer, renal carcinoma)","6 patients with malignant tumors (3 males and 3 females; median age, 57 y; range, 46–73 y)",Single PET/CT scan,0.13 mCi/kg,Diagnostic efficacy,,Diagnostic efficacy,"[¹⁸F]AlF-LNC1007 PET/CT showed promising diagnostic performance in five cancers, achieving high tumor uptake and good tumor-to-background contrast.",,,,,
HU0027,RDC00100,40540027,10.1007/s00259-025-07408-7,,Esophageal Squamous Cell Carcinoma (ESCC),"A patient with type-II diabetes (f, 68y, 115 kg) with proximal G2 ESCC",Single administration,193 MBq,Staging and therapy guidance,,Staging and therapy guidance,"Clinical PET/CT in an ESCC patient revealed progressively increasing tracer uptake in the primary tumor (SUVmax 9.0 at 15 min p.i. and 11.3 at 104 min p.i.) and lymph node metastasis (SUVmax 19.5 and 28.3, respectively), accompanied by declining blood pool activity (SUVmean 2.75 and 0.98, respectively)",,,,,
HU0028,RDC00278,32004729,10.1016/j.ijrobp.2020.02.014,,Lung cancer,6 NSCLC patients + 6 healthy volunteers,,8.86–122 MBq,Assess αvβ6 expression post-RT and correlation with RT parameters,,Assess αvβ6 expression post-RT and correlation with RT parameters,Higher uptake in irradiated lung; PD relationship with dose per fraction and BED for fibrosis,,,No adverse reactions occurred,,
HU0029,RDC00278,32004729,10.1016/j.ijrobp.2020.02.014,,Lung cancer,Six non-small cell lung cancer (3 male; 3 female),,8.86–122 MBq,Uptake characteristics,,Higher mean PET uptake (SUV10-60),2.97,,,No adverse reactions occurred,,
HU0030,RDC00278,32004729,10.1016/j.ijrobp.2020.02.014,,Lung cancer,6 healthy volunteers (3 males; 3 females),,,Uptake characteristics,,Higher mean PET uptake (SUV10-60),1.99,,,No adverse reactions occurred,,
HU0031,RDC00444,24335877,10.1097/mnm.0000000000000065,,Targeted tumor imaging of breast cancer,"3 female breast cancer patients and 7 healthy female volunteer(age,39–66y)",Single administration,380–588 MBq,,,The aim of this study was to  evaluate its dosimetry as a tumour-imaging agent in seven healthy women and three breast cancer patients.,"It is an imaging agent with simple preparation, stability, safety and high targeting specificity, and has great clinical application potential in SPECT imaging of breast cancer.",Images from patients showed an average tumour/heart (blood) ratio of 3.61±0.62 at 1 h.,,,,
HU0032,RDC00444,24335877,10.1097/mnm.0000000000000065,,Targeted tumor imaging of breast cancer,3 female breast cancer patients,Single administration,740 MBq,The effective dose,,The effective dose,6.1 mSv,,,,,
HU0033,RDC00631,,10.1002/bip.10256,,Advanced neuroendocrine tumors,29 patients with advanced neuroendocrine tumors resistant to any treatment.,6-week intervals.,6120±1347 MBq,Efficacy,,The aim of the present study was to elucidate the therapeutic potential of (90)Y-DOTATOC in a larger number of patients employing a standardized treatment protocol.,"To date, 20 of the 29 patients have shown a disease stabilization, two a partial remission, four a reduction of tumour mass <50% and three a progression of tumour growth.",,,,,
HU0034,RDC00613,,10.1007/s00259-005-1820-1,,Follicular thyroid carcinoma/Papillary thyroid carcinoma,"18 consecutive patients (12 females, 6 males; age 20–76 years, mean 59.22 years) with histologically confirmed follicular thyroid carcinoma (9 patients) or papillary thyroid carcinoma (9 patients).",Every 6–12 months,10 - 26 GBq (mean 11.40 GBq),Lesion detection,,"Evaluating the value ofsomatostatin receptor (SSTR) scintigraphy with these radioligands, as compared with 18F-fluorodeoxyglucose (FDG) positron emission tomography (PET), for the detection of tumour lesions in DTC patients.","This RDC showed high diagnostic efficacy for recurrent and metastatic DTC lesions, detecting 33 lesions in 18 patients.It also outperformed ¹⁸F-FDG PET in diagnosing DTC recurrence.",,,,,
HU0035,RDC00611,,10.1007/s00259-005-1820-1,,Follicular thyroid carcinoma/Papillary thyroid carcinoma,"18 consecutive patients (12 females, 6 males; age 20–76 years, mean 59.22 years) with histologically confirmed follicular thyroid carcinoma (9 patients) or papillary thyroid carcinoma (10 patients).",Every 6–12 months,10 - 26 GBq (mean 11.40 GBq),Lesion detection,,"Evaluating the value ofsomatostatin receptor (SSTR) scintigraphy with these radioligands, as compared with 19F-fluorodeoxyglucose (FDG) positron emission tomography (PET), for the detection of tumour lesions in DTC patients.","This RDC showed high diagnostic efficacy for recurrent and metastatic DTC lesions, detecting 33 lesions in 18 patients.It also outperformed ¹⁸F-FDG PET in diagnosing DTC recurrence.",,,,,
HU0036,RDC00622,,10.1007/s00259-005-1872-2,,Somatostatin receptor (sstr)positive tumours,Six patients with somatostatin receptor (sstr)-positive tumours,"After injection of 137±28 MBq [123I]Mtr-TOCA, dynamic data acquisition of the upper abdomen (30 min) was performed followed by whole-body scans at 0.5 h, 1 h, 3 h and 20 h as well as by SPECT imaging (tumour) at 3h.",105±11 MBq,Diagnostic efficacy,,Diagnostic yield,"Visual analysis identified 27 lesions on [123I] Mtr-TOCA scintigraphy versus 33 lesions on [111In] OC scintigraphy (n=6 patients, p=0.50), with discrepancies observed in 17 lesions. Twelve lesions (six hepatic, four abdominal, two thoracic) were detected only by [111In] OC scintigraphy, while five lesions (two hepatic, three osseous) were exclusively visualized on [123I] Mtr-TOCA scintigraphy.",,,,,
HU0037,RDC00646,10901448,10.1007/s002590050556,,Detection and localization of somatostatin receptor-positive (SSTR-positive) tumours​,"n = 13​ ​​(11 men and 2 women; mean age 58 years, range 20-72)​",Single administration​,740 MBq​,Metabolism,,Metabolism,Plasma radioactivity analysis showed intact complex levels of 86%±3% at 3 h and 66%±4% at 24 h,,,,,
HU0038,RDC00646,10901448,10.1007/s002590050556,,Detection and localization of somatostatin receptor-positive (SSTR-positive) tumours​,"n = 13​ ​​(11 men and 2 women; mean age 58 years, range 20-72)​",Single administration​,740 MBq​,Biodistribution,,To evaluate biodistribution,"Radioactive excretion is prominent early post-injection, with activity stable from 6 to 24 h p.i., when 91.0%±4.0% of the injected dose remains in the body",,,,,
HU0039,RDC00646,10901448,10.1007/s002590050556,,Detection and localization of somatostatin receptor-positive (SSTR-positive) tumours​,"n = 13​ ​​(11 men and 2 women; mean age 58 years, range 20-72)​",Single administration​,740 MBq​,Imaging potential,,To evaluate imaging potential,9mTc-tricine-HYNIC-TOC allows earlier diagnosis (10 min–4 h) compared with 111In-DTPA-OC (4–24 h).,,,,,
HU0040,RDC00686,25168627,10.2967/jnumed.114.144543,,Imaging of neuroendocrine tumors and their metastases,"4 patients (2 male, 2 female, age 46-55 years) with histologically confirmed neuroendocrine tumors",Single PET scan per patient,181 ± 17 MBq,Imaging potential,,To evaluate imaging potential,,"[68Ga]-DOTATOC PET detected more lesions than [111In]-DTPAOC-SPECT in 2/4 patients, particularly small lesions or those with low SSTR density. Superior spatial resolution and quantification. Less sensitive for liver metastases compared to CT due to lower uptake than surrounding liver tissue.Fast tumor accumulation and clearance allows for imaging within 40-60 minutes.",,,,
HU0041,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,,,Safety,,,Hematological parameters,"Seventy percent (14/20) of patients had nonhematologic AEs related to ¹⁷⁷Lu-satoreotide tetraxetan, all grade 1 or 2.",,
HU0042,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,ORR,45%,To evaluate the efficacy,"Overall response rate was 45% [1 CR (1/20, 5%)",,,,,
HU0043,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,CR,5%,To evaluate the efficacy,"Overall response rate was 45% [1 CR (1/20, 5%)]",,,,,
HU0044,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,PR,40%,To evaluate the efficacy,Overall response rate was 40% PR (8/20)],,,,,
HU0045,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,SD,40%,To evaluate the efficacy,40% had SD (8/20),,,,,
HU0046,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,PD,15%,To evaluate the efficacy,15% had PD (3/20).,,,,,
HU0047,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,,,Median follow-up,Median follow-up was 32 months,,,,,
HU0048,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,mPFS,21 months,To evaluate the efficacy,"Median PFS was 21.0 months (95% CI, 13.6–NR)",,,,,
HU0049,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,PFS,38%,To evaluate the efficacy,2-year PFS was 38% (20–73 months),,,,,
HU0050,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,OS,85%,To evaluate the efficacy,Two-year overall survival was 85% (71–100),,,,,
HU0051,RDC00657,31439583,10.1158/1078-0432.CCR-19-1026,NCT02609737,"Advanced, progressive, SSTR2-positive well-differentiated neuroendocrine tumors (NETs)","n=20 (10 female, 10 male; median age 58 years)","2 cycles, approximately 3 months apart (after study hold, the interval was extended for some patients).",7.4 GBq,OS,69%,To evaluate the efficacy,3-year overall survival was 69% (51–93),,,,,
HU0052,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),69 patients overall; subset received 177Lu alone (n=29 from Table 3),Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",Safety,,To evaluate the safety,,,General and hematological status,No CTCAE grade 4 hematologic toxicity was observed. No significant toxicity was noted except for one case (1.4%) of grade 3 leukopenia. No CTCAE grade 3 or 4 renal toxicity was detected.,,
HU0053,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),69 patients overall; subset received 177Lu alone (n=29 from Table 3),Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",DCR,78.20%,To evaluate the efficacy,"The 3-month disease control rate (DCR) was 78.2%, including 30.9% of patients with partial response (PR) and 47.3% with stable disease (SD).",,,,,
HU0054,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),69 patients overall; subset received 177Lu alone (n=29 from Table 3),Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",PR,30.90%,To evaluate the efficacy,"The 3-month disease control rate (DCR) was 78.2%, including 30.9% of patients with partial response (PR) and 47.3% with stable disease (SD).",,,,,
HU0055,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),69 patients overall; subset received 177Lu alone (n=29 from Table 3),Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",SD,47.30%,To evaluate the efficacy,"The 3-month disease control rate (DCR) was 78.2%, including 30.9% of patients with partial response (PR) and 47.3% with stable disease (SD).",,,,,
HU0056,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),69 patients overall; subset received 177Lu alone (n=29 from Table 3),Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",,,Median follow-up,"The median follow-up duration was 94.3 months (interquartile range, 56.2–104.9 months).",,,,,
HU0057,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),69 patients overall; subset received 177Lu alone (n=29 from Table 3),Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",median PFS,9.6 months,To evaluate the efficacy,"Among all 69 patients, the median progression-free survival (PFS) was 9.6 months",,,,,
HU0058,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),69 patients overall; subset received 177Lu alone (n=29 from Table 3),Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",median OS,19.9 months,To evaluate the efficacy,"Among all 69 patients, the median overall survival (OS) was 19.9 months.",,,,,
HU0059,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),"64 patients with G3 neuroendocrine neoplasms (NENs), excluding 5 patients with an unknown Ki-67 index.",Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",median PFS,11 months,To evaluate the efficacy,"For patients with a Ki-67 index ≤ 55% (n = 53), the median progression-free survival (PFS) was 11 months.",,,,,
HU0060,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),"64 patients with G3 neuroendocrine neoplasms (NENs), excluding 5 patients with an unknown Ki-67 index.",Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",median PFS,4 months,To evaluate the efficacy,"For patients with a Ki-67 index > 55% (n = 11), the median progression-free survival (PFS) was 4 months",,,,,
HU0061,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),"64 patients with G3 neuroendocrine neoplasms (NENs), excluding 5 patients with an unknown Ki-67 index.",Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",median OS,22 months,To evaluate the efficacy,The median overall survival (OS) was 22 months in patients with a Ki-67 index ≤ 55%,,,,,
HU0062,RDC00659,30115686,10.2967/jnumed.118.215848,,Grade 3 neuroendocrine neoplasms (G3 NENs),"64 patients with G3 neuroendocrine neoplasms (NENs), excluding 5 patients with an unknown Ki-67 index.",Cycles every 10-12 weeks,"1 cycle: 6.2 GBq, 2 cycles: 13.6 GBq",median OS,7 months,To evaluate the efficacy,The median overall survival (OS) was 7 months in those with a Ki-67 index > 55%.,,,,,
HU0063,RDC00631,28605448,10.1210/jc.2017-00816,,Functional metastatic paraganglioma (PGL) and pheochromocytoma (PCC),20 patients (M:F=13:7; age 21-77 years),"1-4 cycles, median 4 cycles, 6-10 weeks apart",22 GBq,Safety,,Toxicity,,,,"The most common toxicity was grade 2 lymphopenia; 4 patients had grade 3 lymphopenia and 2 had grade 3 thrombocytopenia at 3 months, with no grade 4 hematologic toxicity, MDS or leukemia observed.",,
HU0064,RDC00631,28605448,10.1210/jc.2017-00816,,Functional metastatic paraganglioma (PGL) and pheochromocytoma (PCC),20 patients (M:F=13:7; age 21-77 years),"1-4 cycles, median 4 cycles, 6-10 weeks apart",22 GBq,,,Median follow-up,"Median follow-up was 28 months (range, 5 to 74 months)",,,,,
HU0065,RDC00631,28605448,10.1210/jc.2017-00816,,Functional metastatic paraganglioma (PGL) and pheochromocytoma (PCC),20 patients (M:F=13:7; age 21-77 years),"1-4 cycles, median 4 cycles, 6-10 weeks apart",22 GBq,Median OS,,,Median OS was not reached,,,,,
HU0066,RDC00631,28605448,10.1210/jc.2017-00816,,Functional metastatic paraganglioma (PGL) and pheochromocytoma (PCC),20 patients (M:F=13:7; age 21-77 years),"1-4 cycles, median 4 cycles, 6-10 weeks apart",22 GBq,Median PFS,39 months,To evaluate the efficacy,"Two other patients were given further maintenance therapies for persisting disease, with favorable response. The median PFS was 39 months.",,,,,
HU0067,RDC00667,31112618,10.1002/jlcr.3755,​NCT02162446,Gastroenteropancreatic NETs,Twelve patients (7 males and 5 females),Single administration per imaging session,40-200 MBq,Safety,,To estimate the safety,Patient 5 developed grade 2 mild eosinophilia of unknown etiology after the first injection.,,,No serious adverse events (AEs) or adverse events requiring medical intervention occurred with ⁶⁸Ga-OPS202.,,
HU0068,RDC00667,,10.1186/s13550-021-00819-1,​NCT03220217,Gastroenteropancreatic NETs,"Twenty-four adult patients with well-differentiated, metastatic, grade 1/2, STR-positive disease.",,,,,To evaluate the optimal dose,"The administered activity of ⁶⁸Ga-satoreotide trizoxetan was 100–200 MBq with a peptide mass of up to 50 μg, which is suitable for future clinical development",,,,,
HU0069,RDC00667,31112618,10.1002/jlcr.3755,​NCT03697551,Breast cancer,"Female patients with newly diagnosed breast cancer (early or advanced stage), aged 18 years and older.",,,,,To define the Optimal Uptake Time,,,,,,
